Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
59.0,1,12.0,3,5.0,4.0,4.0,1,5,1,2.0,29230.0,Self Enquiry,Large Business,Female,Standard,Married,Senior Manager
40.0,3,28.0,3,5.0,3.0,5.0,1,1,0,2.0,24798.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
29.0,2,7.0,3,4.0,3.0,3.0,0,4,0,2.0,21384.0,Company Invited,Salaried,Male,Basic,Married,Executive
35.0,1,15.0,3,4.0,5.0,5.0,0,5,1,1.0,23799.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
34.0,2,15.0,2,3.0,3.0,2.0,0,1,1,0.0,17742.0,Self Enquiry,Large Business,Female,Basic,Divorced,Executive
36.0,1,10.0,2,4.0,3.0,2.0,0,5,1,1.0,20810.0,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
41.0,1,16.0,3,4.0,5.0,5.0,0,2,1,0.0,32181.0,Company Invited,Salaried,Male,Super Deluxe,Married,AVP
46.0,1,6.0,2,4.0,5.0,3.0,1,1,1,1.0,25673.0,Company Invited,Small Business,Male,Standard,Married,Senior Manager
27.0,3,36.0,3,4.0,3.0,7.0,0,5,1,1.0,22984.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
32.0,3,27.0,4,2.0,3.0,2.0,0,5,1,1.0,21469.0,Company Invited,Salaried,Male,Basic,Married,Executive
38.0,1,26.0,4,4.0,4.0,6.0,0,4,0,2.0,21700.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
34.0,3,29.0,4,4.0,4.0,2.0,0,1,0,1.0,24824.0,Company Invited,Small Business,Male,Deluxe,Married,Manager
51.0,2,11.0,2,3.0,4.0,2.0,1,3,1,1.0,29026.0,Self Enquiry,Salaried,Male,Super Deluxe,Married,AVP
40.0,1,8.0,2,4.0,3.0,1.0,1,3,1,1.0,17342.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
49.0,1,13.0,2,4.0,3.0,1.0,0,1,1,0.0,25965.0,Self Enquiry,Salaried,Male,Standard,Unmarried,Senior Manager
48.0,1,16.0,4,4.0,3.0,6.0,0,3,1,1.0,20783.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
29.0,3,26.0,2,3.0,3.0,3.0,0,1,1,0.0,21931.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
25.0,3,31.0,3,4.0,3.0,2.0,0,4,1,2.0,21078.0,Company Invited,Small Business,Male,Basic,Married,Executive
35.0,3,23.0,3,3.0,5.0,4.0,1,3,0,2.0,23966.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
30.0,3,17.0,3,5.0,4.0,3.0,1,5,1,1.0,26946.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
35.0,1,29.0,2,4.0,3.0,4.0,1,4,1,0.0,20916.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
36.0,1,8.0,3,3.0,3.0,5.0,0,5,1,0.0,17543.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
50.0,3,5.0,2,3.0,3.0,5.0,1,5,0,1.0,34331.0,Self Enquiry,Small Business,Male,King,Married,VP
44.0,3,32.0,4,5.0,3.0,7.0,0,4,1,2.0,29476.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
38.0,3,8.0,2,3.0,4.0,1.0,0,4,1,0.0,22351.0,Self Enquiry,Small Business,Male,Standard,Unmarried,Senior Manager
37.0,1,14.0,4,4.0,4.0,4.0,0,1,0,3.0,20691.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
32.0,2,9.0,4,5.0,5.0,5.0,0,3,0,2.0,25088.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
42.0,3,17.0,3,4.0,3.0,2.0,0,2,0,2.0,24908.0,Company Invited,Salaried,Male,Deluxe,Unmarried,Manager
50.0,1,34.0,3,2.0,3.0,2.0,1,2,1,2.0,18221.0,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
25.0,1,14.0,3,4.0,3.0,3.0,1,4,0,1.0,21564.0,Company Invited,Salaried,Female,Basic,Married,Executive
19.0,1,15.0,2,3.0,5.0,2.0,0,3,0,0.0,17552.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
41.0,3,17.0,4,5.0,4.0,4.0,0,4,0,1.0,28383.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
47.0,1,25.0,3,4.0,3.0,7.0,0,3,1,1.0,29205.0,Company Invited,Small Business,Female,Standard,Divorced,Senior Manager
32.0,3,27.0,3,4.0,3.0,3.0,0,2,1,1.0,25610.0,Company Invited,Small Business,Female,Deluxe,Divorced,Manager
44.0,3,34.0,2,1.0,3.0,4.0,1,2,1,1.0,28320.0,Self Enquiry,Small Business,Female,Super Deluxe,Divorced,AVP
51.0,3,15.0,3,4.0,4.0,2.0,0,2,1,1.0,22553.0,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
37.0,1,7.0,2,4.0,3.0,2.0,0,1,0,0.0,21474.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
36.0,1,7.0,4,5.0,5.0,3.0,0,1,0,3.0,21128.0,Self Enquiry,Small Business,Male,Basic,Single,Executive
30.0,1,15.0,4,6.0,5.0,3.0,1,3,1,2.0,20797.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
43.0,3,21.0,4,5.0,3.0,2.0,0,3,1,1.0,24922.0,Self Enquiry,Small Business,Female,Deluxe,Unmarried,Manager
28.0,3,9.0,4,4.0,3.0,3.0,1,4,0,2.0,23156.0,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
33.0,1,9.0,3,5.0,5.0,6.0,0,4,0,2.0,20854.0,Self Enquiry,Large Business,Male,Deluxe,Single,Manager
35.0,1,28.0,3,2.0,4.0,1.0,0,5,1,1.0,26996.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
43.0,3,32.0,3,3.0,3.0,2.0,1,1,1,0.0,31959.0,Company Invited,Salaried,Male,Super Deluxe,Married,AVP
26.0,1,11.0,3,4.0,3.0,3.0,1,3,1,1.0,22369.0,Self Enquiry,Large Business,Male,Basic,Divorced,Executive
30.0,1,9.0,3,5.0,5.0,2.0,0,4,1,2.0,22017.0,Company Invited,Small Business,Male,Basic,Unmarried,Executive
29.0,3,20.0,3,4.0,3.0,5.0,1,5,1,2.0,28532.0,Self Enquiry,Small Business,Female,Deluxe,Unmarried,Manager
37.0,3,7.0,3,4.0,3.0,6.0,0,2,1,2.0,25331.0,Company Invited,Small Business,Female,Deluxe,Unmarried,Manager
47.0,1,7.0,3,5.0,5.0,4.0,1,1,1,2.0,29351.0,Company Invited,Small Business,Male,Standard,Married,Senior Manager
52.0,1,10.0,4,4.0,4.0,5.0,0,5,0,2.0,32412.0,Self Enquiry,Small Business,Female,Super Deluxe,Single,AVP
34.0,1,9.0,3,4.0,3.0,2.0,0,3,1,1.0,21178.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
33.0,3,16.0,3,6.0,3.0,2.0,0,1,0,2.0,23346.0,Company Invited,Small Business,Male,Deluxe,Married,Manager
52.0,3,17.0,4,4.0,4.0,7.0,0,1,1,3.0,31820.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
35.0,1,6.0,3,3.0,5.0,5.0,0,2,0,1.0,17194.0,Company Invited,Small Business,Male,Basic,Divorced,Executive
26.0,1,29.0,2,3.0,3.0,2.0,0,3,0,0.0,17886.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
53.0,1,15.0,3,5.0,4.0,4.0,0,2,1,2.0,23619.0,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
47.0,1,25.0,3,4.0,3.0,7.0,0,3,0,2.0,29205.0,Company Invited,Small Business,Female,Standard,Married,Senior Manager
28.0,1,18.0,4,4.0,5.0,2.0,0,5,1,3.0,20777.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
33.0,3,16.0,2,3.0,3.0,2.0,0,1,0,0.0,20487.0,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
31.0,3,26.0,2,3.0,3.0,2.0,0,1,1,1.0,21932.0,Company Invited,Small Business,Female,Deluxe,Married,Manager
39.0,1,16.0,4,4.0,5.0,6.0,0,3,0,3.0,25571.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
47.0,3,7.0,4,4.0,5.0,3.0,0,2,1,2.0,29131.0,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
34.0,1,6.0,2,3.0,3.0,2.0,0,3,1,1.0,17691.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
28.0,1,18.0,3,3.0,3.0,2.0,1,4,1,0.0,17515.0,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
33.0,1,7.0,4,4.0,4.0,3.0,0,3,0,1.0,24898.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
39.0,3,14.0,3,3.0,5.0,3.0,1,3,0,1.0,24283.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
31.0,1,6.0,3,1.0,4.0,2.0,0,3,1,2.0,22446.0,Company Invited,Salaried,Female,Standard,Unmarried,Senior Manager
30.0,1,16.0,2,5.0,3.0,2.0,0,2,1,1.0,22661.0,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
45.0,1,13.0,3,3.0,5.0,2.0,0,2,1,2.0,20210.0,Company Invited,Salaried,Male,Standard,Married,Senior Manager
32.0,1,7.0,4,5.0,5.0,3.0,0,4,0,1.0,20896.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
42.0,1,8.0,2,4.0,5.0,1.0,1,4,1,1.0,17593.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
52.0,1,11.0,3,4.0,3.0,2.0,1,1,0,1.0,21139.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
34.0,1,6.0,3,1.0,3.0,3.0,0,1,1,1.0,18280.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
35.0,1,12.0,3,5.0,5.0,4.0,0,2,0,1.0,30309.0,Self Enquiry,Small Business,Female,Standard,Single,Senior Manager
52.0,1,12.0,3,3.0,5.0,4.0,1,4,1,2.0,20577.0,Self Enquiry,Large Business,Male,Deluxe,Married,Manager
45.0,1,9.0,3,4.0,3.0,7.0,1,1,0,2.0,28887.0,Company Invited,Small Business,Male,Standard,Single,Senior Manager
28.0,1,10.0,4,5.0,3.0,3.0,1,1,0,3.0,21244.0,Company Invited,Small Business,Male,Basic,Married,Executive
42.0,1,25.0,2,2.0,3.0,7.0,1,3,1,1.0,17759.0,Company Invited,Small Business,Male,Basic,Married,Executive
59.0,1,9.0,3,5.0,3.0,2.0,1,1,1,1.0,21058.0,Company Invited,Salaried,Male,Basic,Married,Executive
37.0,1,13.0,3,4.0,3.0,2.0,0,5,1,2.0,21888.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
47.0,1,15.0,4,5.0,5.0,2.0,1,1,1,3.0,23293.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
59.0,1,20.0,2,3.0,3.0,1.0,1,5,1,0.0,25512.0,Company Invited,Salaried,Female,Standard,Unmarried,Senior Manager
44.0,3,11.0,3,5.0,3.0,5.0,0,3,1,1.0,28909.0,Self Enquiry,Small Business,Female,Standard,Single,Senior Manager
21.0,1,16.0,2,4.0,3.0,2.0,0,4,1,0.0,17625.0,Company Invited,Salaried,Female,Basic,Single,Executive
20.0,3,8.0,2,4.0,3.0,2.0,0,4,1,0.0,17044.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
49.0,1,6.0,2,3.0,3.0,5.0,0,3,1,0.0,30379.0,Self Enquiry,Salaried,Male,Super Deluxe,Single,AVP
33.0,1,15.0,2,3.0,3.0,1.0,0,2,1,0.0,17781.0,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
30.0,3,7.0,3,5.0,3.0,8.0,1,1,1,2.0,21478.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
57.0,1,15.0,4,4.0,5.0,6.0,1,4,1,2.0,22935.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
36.0,1,7.0,3,2.0,3.0,5.0,0,3,0,1.0,21184.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
41.0,1,23.0,3,5.0,3.0,8.0,0,5,0,1.0,23772.0,Company Invited,Small Business,Male,Deluxe,Unmarried,Manager
32.0,3,8.0,3,3.0,5.0,2.0,0,3,1,0.0,17827.0,Company Invited,Salaried,Female,Basic,Married,Executive
55.0,1,26.0,2,3.0,3.0,4.0,1,1,0,0.0,20415.0,Self Enquiry,Large Business,Male,Deluxe,Married,Manager
46.0,1,7.0,4,4.0,3.0,5.0,0,5,0,2.0,20948.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
33.0,1,9.0,2,3.0,3.0,2.0,1,5,1,1.0,17909.0,Company Invited,Salaried,Female,Basic,Divorced,Executive
22.0,1,17.0,3,5.0,5.0,3.0,0,3,0,2.0,20094.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
33.0,3,8.0,3,3.0,3.0,2.0,0,3,1,1.0,20505.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
46.0,3,8.0,3,5.0,4.0,4.0,1,5,1,0.0,31872.0,Self Enquiry,Large Business,Female,Super Deluxe,Married,AVP
47.0,3,9.0,4,6.0,4.0,5.0,1,5,1,1.0,35550.0,Self Enquiry,Large Business,Female,Super Deluxe,Married,AVP
31.0,3,6.0,2,3.0,4.0,2.0,1,5,1,1.0,17302.0,Company Invited,Salaried,Female,Basic,Single,Executive
38.0,1,35.0,2,3.0,3.0,4.0,0,1,0,0.0,21261.0,Self Enquiry,Large Business,Male,Deluxe,Married,Manager
26.0,3,16.0,4,5.0,5.0,5.0,0,1,1,1.0,23078.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
59.0,1,9.0,2,1.0,5.0,5.0,1,1,0,1.0,17670.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
32.0,1,12.0,3,4.0,3.0,2.0,1,4,0,2.0,23499.0,Self Enquiry,Large Business,Male,Basic,Divorced,Executive
37.0,3,16.0,3,5.0,5.0,2.0,0,2,0,1.0,22085.0,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
46.0,3,8.0,3,5.0,4.0,4.0,1,5,1,2.0,31872.0,Self Enquiry,Large Business,Female,Super Deluxe,Divorced,AVP
35.0,1,10.0,3,4.0,3.0,2.0,0,1,1,1.0,26434.0,Company Invited,Salaried,Male,Deluxe,Unmarried,Manager
36.0,3,17.0,3,5.0,5.0,2.0,0,5,1,2.0,28984.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
35.0,1,31.0,2,3.0,3.0,2.0,1,3,1,1.0,25388.0,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
34.0,1,13.0,2,3.0,4.0,1.0,0,5,0,0.0,26994.0,Self Enquiry,Salaried,Female,Standard,Unmarried,Senior Manager
27.0,1,23.0,3,4.0,4.0,4.0,1,1,1,1.0,21051.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
41.0,1,25.0,2,3.0,5.0,3.0,0,1,0,0.0,18072.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
54.0,2,25.0,2,3.0,4.0,3.0,0,3,1,1.0,25725.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
49.0,1,13.0,2,3.0,4.0,4.0,0,4,0,1.0,25466.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
37.0,1,15.0,3,4.0,3.0,3.0,0,4,1,2.0,28774.0,Self Enquiry,Large Business,Female,Standard,Married,Senior Manager
53.0,3,12.0,2,3.0,3.0,3.0,1,5,0,1.0,17306.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
32.0,1,6.0,2,3.0,3.0,2.0,1,4,1,0.0,21162.0,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
42.0,1,14.0,3,3.0,3.0,2.0,0,5,1,1.0,33430.0,Company Invited,Salaried,Male,King,Married,VP
36.0,1,11.0,3,5.0,3.0,3.0,0,2,1,1.0,21054.0,Company Invited,Salaried,Male,Basic,Divorced,Executive
50.0,1,14.0,3,5.0,3.0,2.0,0,1,1,1.0,29643.0,Self Enquiry,Salaried,Male,Standard,Single,Senior Manager
41.0,2,6.0,2,4.0,3.0,2.0,0,1,1,1.0,34189.0,Self Enquiry,Salaried,Male,King,Married,VP
36.0,3,7.0,4,4.0,4.0,3.0,0,4,0,1.0,25973.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
48.0,1,11.0,4,5.0,4.0,2.0,1,4,1,3.0,29011.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
31.0,1,14.0,3,4.0,3.0,3.0,0,5,1,2.0,22169.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
29.0,1,16.0,3,3.0,4.0,1.0,0,5,1,0.0,18291.0,Company Invited,Salaried,Female,Basic,Married,Executive
47.0,3,33.0,3,1.0,3.0,5.0,1,4,0,1.0,21397.0,Company Invited,Salaried,Female,Deluxe,Unmarried,Manager
30.0,1,22.0,3,4.0,3.0,3.0,0,3,1,2.0,21018.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
46.0,1,15.0,4,4.0,3.0,2.0,0,3,1,1.0,22375.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
38.0,1,32.0,3,5.0,3.0,2.0,0,3,1,1.0,24409.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
46.0,3,13.0,3,5.0,3.0,8.0,0,4,1,1.0,27543.0,Company Invited,Small Business,Female,Standard,Unmarried,Senior Manager
28.0,1,6.0,3,5.0,4.0,1.0,1,2,1,0.0,17216.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
38.0,1,28.0,4,3.0,5.0,3.0,1,3,0,3.0,22242.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
38.0,3,10.0,3,4.0,3.0,4.0,0,3,0,2.0,26106.0,Self Enquiry,Salaried,Male,Standard,Unmarried,Senior Manager
36.0,3,9.0,2,4.0,3.0,2.0,1,1,1,0.0,25325.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
44.0,1,14.0,3,4.0,5.0,2.0,0,5,1,1.0,28663.0,Self Enquiry,Salaried,Female,Standard,Divorced,Senior Manager
31.0,1,15.0,2,4.0,4.0,1.0,1,3,1,0.0,17657.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
40.0,1,7.0,4,4.0,3.0,2.0,0,3,1,1.0,20910.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
22.0,1,17.0,3,5.0,5.0,3.0,0,3,1,1.0,20094.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
28.0,1,6.0,2,3.0,3.0,1.0,1,4,0,0.0,17154.0,Company Invited,Small Business,Male,Basic,Single,Executive
39.0,1,13.0,4,5.0,3.0,4.0,0,4,1,2.0,23999.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
39.0,3,14.0,3,2.0,5.0,3.0,1,3,1,2.0,24283.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
36.0,1,32.0,4,5.0,4.0,5.0,0,3,1,2.0,29581.0,Self Enquiry,Large Business,Male,Standard,Married,Senior Manager
30.0,3,22.0,3,3.0,3.0,1.0,0,3,0,2.0,20301.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
42.0,1,14.0,3,2.0,3.0,3.0,0,3,0,1.0,22054.0,Self Enquiry,Large Business,Female,Basic,Married,Executive
26.0,1,8.0,2,3.0,5.0,7.0,1,5,0,0.0,17042.0,Company Invited,Salaried,Male,Basic,Married,Executive
